ID,Latitude,Longitude,Occurrence Status
ID_TR_957A5A,-34.0279,150.771,1
ID_TR_55E0AF,-34.821595,147.193697,1
ID_TR_7AC931,-36.617759,146.882941,0
ID_TR_7D3CE4,-37.4709,144.744,1
ID_TR_02F669,-38.400153,145.01856,1
ID_TR_8B6A51,-35.328601,150.401424,0
ID_TR_F18BAF,-38.394039,146.23123,0
ID_TR_454DFD,-34.79867,144.945172,0
ID_TR_1EA032,-38.000732,143.813159,0
ID_TR_78DDE0,-34.3455,148.272,1
ID_TR_5CB213,-38.470705,145.26908,0
ID_TR_6F0280,-37.243579,144.102252,1
ID_TR_171B8D,-35.015442,150.82844,1
ID_TR_320F0A,-34.949843,149.483145,1
ID_TR_7EB1E7,-34.125963,150.559934,1
ID_TR_0935AE,-34.789365,145.982271,0
ID_TR_3FF29B,-34.3694,150.544,1
ID_TR_B4AB4A,-34.344694,149.667427,1
ID_TR_4DBD3E,-37.964772,141.046056,0
ID_TR_8CC407,-34.558865,145.260698,0
ID_TR_FA01B7,-36.996996,140.607947,0
ID_TR_B59187,-35.068339,146.274592,1
ID_TR_79838B,-38.162099,145.176004,1
ID_TR_0909AC,-37.5838,140.318,1
ID_TR_312D88,-34.6051,150.147664,0
ID_TR_1ACE9E,-36.995598,145.768997,0
ID_TR_0E3148,-34.6169,148.399,1
ID_TR_B09C4B,-32.83622,148.336145,0
ID_TR_4CD87F,-33.2124,147.241,1
ID_TR_39FDB3,-36.053591,147.386896,0
ID_TR_760E82,-35.4433,150.397,1
ID_TR_74CE59,-36.0195,146.35,1
ID_TR_4BBD91,-37.128431,145.238809,1
ID_TR_A5E449,-36.8127,144.236,1
ID_TR_1E13E0,-37.564516,144.089689,1
ID_TR_A34C5C,-35.067593,146.273691,1
ID_TR_8204BF,-35.956486,146.002457,1
ID_TR_4F2A32,-31.382847,149.342748,0
ID_TR_569B76,-36.43704,148.781093,0
ID_TR_CF9915,-34.7306,150.835,1
ID_TR_B45C1F,-34.354,150.808,1
ID_TR_7CB85B,-35.7884,146.034,1
ID_TR_C455E1,-37.0375,143.694,1
ID_TR_E20E79,-36.404308,146.688094,0
ID_TR_08033B,-36.8937,144.534,1
ID_TR_8CFB8D,-34.0771,150.522,1
ID_TR_ADD51A,-34.984874,149.09543,0
ID_TR_CEEBC2,-37.92502,145.326728,1
ID_TR_046188,-35.444736,148.217283,0
